time,x,equation,abc,value,res,res squared,,
0.649999976,8.46354E-05,7.61108E+15,a,13421763.69,7.61108E+15,2.65536E+34,,
0.660000026,0.000285938,7.72818E+15,b,107374184.4,7.72818E+15,,,
0.670000017,0.000574479,7.84527E+15,c,46577061.68,7.84527E+15,,,
0.680000007,0.001065625,7.96236E+15,,,7.96236E+15,,,
0.689999998,0.001759375,8.07946E+15,,,8.07946E+15,,,
0.699999988,0.002564583,8.19655E+15,,,8.19655E+15,,,
0.709999979,0.00346224,8.31364E+15,,,8.31364E+15,,,
0.720000029,0.004562499,8.43074E+15,,,8.43074E+15,,,
0.730000019,0.005865364,8.54783E+15,,,8.54783E+15,,,
0.74000001,0.007274479,8.66493E+15,,,8.66493E+15,,,
0.75,0.008683594,8.78202E+15,,,8.78202E+15,,,
0.75999999,0.010191667,8.89911E+15,,,8.89911E+15,,,
0.769999981,0.011802084,9.01621E+15,,,9.01621E+15,,,
0.779999971,0.0134125,9.1333E+15,,,9.1333E+15,,,
0.790000021,0.015228646,9.25039E+15,,,9.25039E+15,,,
0.800000012,0.017449999,9.36749E+15,,,9.36749E+15,,,
0.810000002,0.019971093,9.48458E+15,,,9.48458E+15,,,
0.819999993,0.022694793,9.60167E+15,,,9.60167E+15,,,
0.829999983,0.025621094,9.71877E+15,,,9.71877E+15,,,
0.839999974,0.028640626,9.83586E+15,,,9.83586E+15,,,
0.850000024,0.031660158,9.95296E+15,,,9.95296E+15,,,The physc. Meaning of a b and c are repsentative of the
0.860000014,0.034679685,1.007E+16,,,1.007E+16,,,
0.870000005,0.037699215,1.01871E+16,,,1.01871E+16,,,
0.879999995,0.040718749,1.03042E+16,,,1.03042E+16,,,
0.889999986,0.043738279,1.04213E+16,,,1.04213E+16,,,
0.899999976,0.046757814,1.05384E+16,,,1.05384E+16,,,
0.910000026,0.049658857,1.06555E+16,,,1.06555E+16,,,
0.920000017,0.05247708,1.07726E+16,,,1.07726E+16,,,
0.930000007,0.055295311,1.08897E+16,,,1.08897E+16,,,
0.939999998,0.058113541,1.10068E+16,,,1.10068E+16,,,
0.949999988,0.06080807,1.11239E+16,,,1.11239E+16,,,
0.959999979,0.063549995,1.1241E+16,,,1.1241E+16,,,
0.970000029,0.06636823,1.13581E+16,,,1.13581E+16,,,
0.980000019,0.06905885,1.14752E+16,,,1.14752E+16,,,
0.99000001,0.071675777,1.15923E+16,,,1.15923E+16,,,
1,0.074422918,1.17094E+16,,,1.17094E+16,,,
1.00999999,0.077109635,1.18265E+16,,,1.18265E+16,,,
1.019999981,0.079726562,1.19435E+16,,,1.19435E+16,,,
1.029999971,0.082343489,1.20606E+16,,,1.20606E+16,,,
1.039999962,0.084960416,1.21777E+16,,,1.21777E+16,,,
1.049999952,0.087440625,1.22948E+16,,,1.22948E+16,,,
1.059999943,0.089856245,1.24119E+16,,,1.24119E+16,,,
1.070000052,0.092271879,1.2529E+16,,,1.2529E+16,,,
1.080000043,0.094687499,1.26461E+16,,,1.26461E+16,,,
1.090000033,0.096961193,1.27632E+16,,,1.27632E+16,,,
1.100000024,0.099175528,1.28803E+16,,,1.28803E+16,,,
1.110000014,0.101534382,1.29974E+16,,,1.29974E+16,,,
1.120000005,0.103804171,1.31145E+16,,,1.31145E+16,,,
1.129999995,0.106018491,1.32316E+16,,,1.32316E+16,,,
1.139999986,0.108232811,1.33487E+16,,,1.33487E+16,,,
1.149999976,0.110447139,1.34658E+16,,,1.34658E+16,,,
1.159999967,0.112661451,1.35829E+16,,,1.35829E+16,,,
1.169999957,0.114723437,1.36999E+16,,,1.36999E+16,,,
1.179999948,0.116736457,1.3817E+16,,,1.3817E+16,,,
1.190000057,0.118749484,1.39341E+16,,,1.39341E+16,,,
1.200000048,0.120762505,1.40512E+16,,,1.40512E+16,,,
1.210000038,0.122617975,1.41683E+16,,,1.41683E+16,,,
1.220000029,0.124588542,1.42854E+16,,,1.42854E+16,,,
1.230000019,0.126601562,1.44025E+16,,,1.44025E+16,,,
1.24000001,0.12861459,1.45196E+16,,,1.45196E+16,,,
1.25,0.130464852,1.46367E+16,,,1.46367E+16,,,
1.25999999,0.13227655,1.47538E+16,,,1.47538E+16,,,
1.269999981,0.134088278,1.48709E+16,,,1.48709E+16,,,
1.279999971,0.135899991,1.4988E+16,,,1.4988E+16,,,
1.289999962,0.137711734,1.51051E+16,,,1.51051E+16,,,
1.299999952,0.139523432,1.52222E+16,,,1.52222E+16,,,
1.309999943,0.141335145,1.53393E+16,,,1.53393E+16,,,
1.320000052,0.142975003,1.54564E+16,,,1.54564E+16,,,
1.330000043,0.144585431,1.55734E+16,,,1.55734E+16,,,
1.340000033,0.146021351,1.56905E+16,,,1.56905E+16,,,
1.350000024,0.147430465,1.58076E+16,,,1.58076E+16,,,
1.360000014,0.148839593,1.59247E+16,,,1.59247E+16,,,
1.370000005,0.150427073,1.60418E+16,,,1.60418E+16,,,
1.379999995,0.151857808,1.61589E+16,,,1.61589E+16,,,
1.389999986,0.153266937,1.6276E+16,,,1.6276E+16,,,
1.399999976,0.154858336,1.63931E+16,,,1.63931E+16,,,
1.409999967,0.156285152,1.65102E+16,,,1.65102E+16,,,
1.419999957,0.157509372,1.66273E+16,,,1.66273E+16,,,
1.429999948,0.1587172,1.67444E+16,,,1.67444E+16,,,
1.440000057,0.159924999,1.68615E+16,,,1.68615E+16,,,
1.450000048,0.160944015,1.69786E+16,,,1.69786E+16,,,
1.460000038,0.161950529,1.70957E+16,,,1.70957E+16,,,
1.470000029,0.163148433,1.72128E+16,,,1.72128E+16,,,
1.480000019,0.16416353,1.73299E+16,,,1.73299E+16,,,
1.49000001,0.165364057,1.74469E+16,,,1.74469E+16,,,
1.5,0.1665719,1.7564E+16,,,1.7564E+16,,,
1.50999999,0.167779699,1.76811E+16,,,1.76811E+16,,,
1.519999981,0.168591678,1.77982E+16,,,1.77982E+16,,,
1.529999971,0.169598192,1.79153E+16,,,1.79153E+16,,,
1.539999962,0.170407295,1.80324E+16,,,1.80324E+16,,,
1.549999952,0.171212494,1.81495E+16,,,1.81495E+16,,,
1.559999943,0.172017708,1.82666E+16,,,1.82666E+16,,,
1.570000052,0.172822922,1.83837E+16,,,1.83837E+16,,,
1.580000043,0.173628122,1.85008E+16,,,1.85008E+16,,,
1.590000033,0.174424991,1.86179E+16,,,1.86179E+16,,,
1.600000024,0.175028905,1.8735E+16,,,1.8735E+16,,,
1.610000014,0.175643757,1.88521E+16,,,1.88521E+16,,,
1.620000005,0.176436707,1.89692E+16,,,1.89692E+16,,,
1.629999995,0.177040607,1.90863E+16,,,1.90863E+16,,,
1.639999986,0.177644521,1.92033E+16,,,1.92033E+16,,,
1.649999976,0.17824845,1.93204E+16,,,1.93204E+16,,,
1.659999967,0.1788349,1.94375E+16,,,1.94375E+16,,,
1.669999957,0.17925626,1.95546E+16,,,1.95546E+16,,,
1.679999948,0.179840103,1.96717E+16,,,1.96717E+16,,,
1.690000057,0.180264056,1.97888E+16,,,1.97888E+16,,,
1.700000048,0.180845305,1.99059E+16,,,1.99059E+16,,,
1.710000038,0.181247905,2.0023E+16,,,2.0023E+16,,,
1.720000029,0.181625247,2.01401E+16,,,2.01401E+16,,,
1.730000019,0.181826562,2.02572E+16,,,2.02572E+16,,,
1.74000001,0.182027861,2.03743E+16,,,2.03743E+16,,,
1.75,0.182229176,2.04914E+16,,,2.04914E+16,,,
1.75999999,0.182430476,2.06085E+16,,,2.06085E+16,,,
1.769999981,0.182631776,2.07256E+16,,,2.07256E+16,,,
1.779999971,0.182866171,2.08427E+16,,,2.08427E+16,,,
1.789999962,0.183234379,2.09598E+16,,,2.09598E+16,,,
1.799999952,0.183435678,2.10768E+16,,,2.10768E+16,,,
1.809999943,0.183636993,2.11939E+16,,,2.11939E+16,,,
1.820000052,0.183838293,2.1311E+16,,,2.1311E+16,,,
